"MeanDecreaseGini"
"V1", 400.214617164858
"V2", 391.940477499904
"V3", 388.988699670216
"V4", 385.404525464398
"V5", 333.722833190466
"V6", 396.342600734698
"V7", 400.650394922409
"V8", 408.206070413947
"V9", 387.468465273777
"V10", 431.077121766592
"V11", 366.712305245408
"V12", 399.61071504391
"V13", 364.639956904978
"V14", 363.820607849856
"V15", 375.240727933799
"V16", 410.991434993596
"V17", 359.142739874652
"V18", 413.491797007635
"V19", 360.812468466361
"V20", 327.217565407968
"V21", 398.215306087719
"V22", 386.895093310779
"V23", 413.533397564595
"V24", 386.807414533599
"V25", 352.89458039722
"V26", 394.093567849661
"V27", 404.430056561162
"V28", 411.02153199032
"V29", 410.625861870411
"V30", 356.219667808992
"V31", 395.493701867406
"V32", 375.188985534065
"V33", 395.26513712498
"V34", 380.752257413965
"V35", 395.217117311215
"V36", 401.334433593145
"V37", 457.304284100633
"V38", 366.366900999636
"V39", 380.197330488706
"V40", 395.251992326895
"V41", 351.039294347942
"V42", 417.797725835233
"V43", 387.274196963818
"V44", 387.663040357258
"V45", 362.148041611109
"V46", 396.013148278591
"V47", 373.89492664675
"V48", 410.065594455587
"V49", 428.970645030537
"V50", 376.870697286753
"V51", 357.563874863784
"V52", 392.848582078855
"V53", 402.04566752892
"V54", 358.430778838485
"V55", 375.628394739168
"V56", 327.861831904096
"V57", 329.411737715049
"V58", 369.311894434938
"V59", 405.940904866246
"V60", 364.864026723073
"V61", 372.054428229387
"V62", 415.002142095911
"V63", 404.924574726847
"V64", 355.419085488777
"length", 226.591524507078
"trend", 514.241714733334
"seasonality", 885.812902875664
"linearity", 442.443094545682
"curvature", 489.814113294031
"spikiness", 570.381125692283
"e_acf1", 543.549889216044
"stability", 513.939878681644
"lumpiness", 558.114343116778
"entropy", 457.876351924674
"hurst", 445.073739478518
"nonlinearity", 577.730119377712
"alpha", 543.917628270549
"beta", 578.383236142964
"hwalpha", 531.203268976522
"hwbeta", 597.414504695606
"hwgamma", 664.170472161225
"ur_pp", 540.89931898581
"ur_kpss", 464.996556534827
"y_acf1", 468.017314522227
"diff1_acf1", 514.993406110796
"diff2_acf1", 548.318896906177
"y_acf5", 457.60857620189
"diff1y_acf5", 552.258098760754
"diff2_acf5", 531.744963636477
"seas_acf1", 490.608031599633
"sediff_acf1", 540.225016545353
"sediff_seacf1", 593.961184544445
"sediff_acf5", 553.12676184707
"lmres_acf1", 0
"y_pacf5", 497.166906745323
"diff1y_pacf5", 551.5001259756
"diff2y_pacf5", 527.74663966587
