ID_Serie;mase_0ive;mase_S0ive;mase_mase;mase_ETS;mase_NNetar
1;1.586280141;0.78729133;0.628986468;0.553533558;1.189834829
2;2.642731167;1.439153439;0.917344539;1.112049832;2.251514484
3;4.556522421;5.578263824;2.376292126;1.808928289;3.596135662
4;4.685493827;7.284465021;4.685493827;4.688518916;5.404984446
5;0.927115189;1.490316004;1.158327559;0.935469998;1.382295786
6;7.838888889;12.98611111;7.762294396;4.555395161;7.026222233
7;6.639558233;12.34320616;6.889470694;2.507146101;10.85868204
8;4.440856481;9.273263889;2.840971981;2.920486512;4.194074706
9;1.965053763;1.899044205;1.071760554;2.658254483;0.741304907
10;9.572401434;14.26415771;7.773025065;9.574231168;10.33077404
11;1.559183294;0.497128041;0.276372226;0.772259371;0.377217756
12;1.942717329;3.17587795;4.264661659;5.095179873;4.424012773
13;2.173667367;3.929942994;1.630321062;7.363558452;9.258035206
14;2.205184488;0.249660291;0.096918098;0.08204145;0.253442562
15;3.664262821;1.013461538;0.521964469;1.43852466;3.417565283
16;1.242985286;0.402417265;0.208575744;0.430197408;0.283594937
17;1.449742385;0.112684385;0.103760423;0.16428225;0.200059403
18;2.295232819;1.349306004;0.820075833;0.950004034;0.806223774
19;0.967799223;0.536590269;0.512190003;0.459655849;0.479709113
20;0.85072095;0.800254453;0.882295821;2.033659494;0.536887413
21;1.094953519;0.550612365;0.462619633;0.416634252;0.388186357
22;0.988848704;0.674603175;0.603201741;0.616787596;0.665578216
23;1.221436985;0.397133883;0.307197839;0.406789572;0.447363137
24;7.41242236;13.60469289;1.28905135;6.737294941;8.198338957
25;6.629492916;12.30947054;1.338473177;0.854253641;6.75221453
26;8.973386167;14.43569331;1.562180063;1.460495374;5.070568052
27;3.599406825;10.19874703;11.78717704;2.574036671;1.208667366
28;1.864796881;2.832128975;2.264346411;0.726334121;2.758057746
29;1.516096599;0.842107477;1.617771947;0.998699202;1.374358956
30;0.807488428;0.844731971;0.807369326;0.652305629;0.872084424
31;1.093805284;1.526049103;1.334160961;1.327041263;1.731190761
32;1.114407016;1.245461147;1.78971933;1.331524463;1.366461049
33;0.871117333;0.847071289;0.592587063;1.196836572;1.50729791
34;1.236856637;0.905949903;0.857107798;0.680212458;0.710778753
35;1.035713493;4.077132914;2.151620886;1.086943818;3.741556853
36;0.753888856;0.503895025;0.729797202;0.502454883;0.508569477
37;0.660978707;0.826794207;1.202196485;1.170624004;1.345939473
