ID_Serie;mae_0ive;mae_S0ive;mae_mae;mae_ETS;mae_NNetar
3442;938.4291139;485.7564083;405.2157573;727.0551977;517.5599379
3443;54.92929611;66.33774611;40.22496716;43.15166839;45.29754924
3444;966.4372839;649.5103194;416.9699129;549.9764781;730.6977476
3445;101.6819606;106.5847294;140.2468192;108.9273948;103.8083149
3446;171.82017;131.4569478;139.3374329;168.7033464;164.7349447
3447;216.4541417;159.6657894;207.3747059;222.3209722;181.9841631
3448;247.5561694;112.8484772;100.0643649;130.3544855;101.0389065
3449;553.9360472;345.4288094;245.4267625;305.2861862;211.2938325
3450;359.8711456;323.1208556;267.9375893;292.8926728;300.4339814
3451;414.1982872;138.8049217;82.12075385;91.69274238;184.823
3452;677.6375578;551.0591967;606.6061104;444.3752503;579.7010183
3453;192.6020056;250.4152867;212.4570816;153.2187965;156.0312557
3454;260.4687378;281.8961211;290.7664881;276.1146841;280.8923576
3455;415.6800844;310.6717967;305.3433028;271.4008461;349.5438185
3456;335.7972528;390.6142917;371.7285578;475.1095293;360.7226792
3457;1252.867463;460.7485522;344.3369834;390.04897;494.9880963
3458;277.3942572;265.9998772;332.2537181;297.7501366;246.7523651
3459;223.6449172;235.7078072;324.9399838;282.8940399;236.4049478
3460;295.3724389;261.5234778;194.7985782;218.1107022;289.1810245
3461;276.19013;614.4228856;319.4634212;348.695128;315.0020183
3462;436.8158483;552.7525372;379.7889795;447.9325666;418.5013816
3463;1058.140551;875.3310533;908.5066062;899.981938;1044.014632
3464;3578.222222;7455.111111;2980.720907;2739.195545;3207.462122
3465;1097.077778;2062.783333;1314.118735;2327.275973;1687.385878
3466;1433.333333;1344.444444;1430.105314;1069.881573;1271.547602
3467;1177.777778;1133.333333;1182.778548;917.1579353;879.5879456
3468;503.8888889;380;251.4762191;241.9812371;578.5888387
3469;449.0166667;312.3222222;235.8297169;211.1159133;278.519611
3470;843.1;611.1722222;629.9342373;617.4332851;598.8381061
3471;1028.941111;1507.191667;1221.397609;1154.982751;625.1521611
3472;3419.230556;5142.245;3174.566681;3109.617064;3369.488082
3473;2856.751111;4766.752778;3076.070751;2703.149441;2898.62318
3474;2342.601667;2931.070556;1927.909432;1509.411149;7349.282911
3475;692.4727778;1514.73;636.3344194;945.7469028;304.1913538
3476;705.8475556;1283.160556;700.9748311;612.2930735;1015.209858
3477;364.7395;649.9723889;358.4755232;316.9523114;819.6483532
3478;444.7396111;571.5325;321.4281553;220.48738;235.4097901
3479;1186.302222;2169.927778;2153.469458;1556.310018;737.6714342
3480;3445.638889;3484.333333;3329.911434;4457.404502;3789.156125
3481;1753.666667;1786.388889;1416.814985;1528.649872;1817.006045
3482;3449.722222;1884.555556;1491.852124;1882.625234;1446.013001
3483;709.2777778;1083.777778;725.6693809;649.3094888;1418.986726
3484;844.9444444;1272.222222;867.3451775;742.9741115;1592.549018
3485;728.5555556;1232.444444;713.3506562;664.2037397;2350.178721
3486;539.4444444;760.5555556;514.1163997;527.6558146;860.2440317
3487;357.2222222;393.3333333;296.4129599;277.5319852;254.3678787
3488;1059.611111;873.0555556;601.5662046;512.7014812;1527.064755
3489;236.3702678;152.2912522;200.5394344;265.7236508;173.9966645
3490;22.93654556;33.92770111;38.25744761;25.54201738;16.22476493
3491;151.7146344;170.6679078;151.9551089;218.2622934;187.3223135
3492;44.83814056;46.40826167;47.17180541;36.85116892;65.99429268
3493;97.414965;307.3013661;77.88365636;104.273886;82.91344941
3494;117.9056339;402.1189172;119.5358;176.4106086;155.9033162
3495;529.8013872;324.4713039;185.8072038;196.1482378;282.4624708
3496;276.3405422;192.8797233;120.0468678;113.0435769;177.1842972
3497;253.4609506;174.1967439;103.8880986;110.3494009;137.0290966
3498;285.4547578;232.58713;128.1019666;105.2989065;181.3437599
3499;127.9136744;79.14084444;48.01423649;65.36671053;58.60350237
3500;235.9464844;127.0209067;171.0722396;148.8038252;113.7661831
3501;73.57772556;53.29944778;24.91059021;41.5897716;39.09562131
3502;300.18159;284.11519;66.74532438;81.95986216;101.9598797
3503;148.3043172;65.13782611;104.5318522;39.50823592;33.68362678
3504;38.79680556;33.04251111;28.16930258;31.66817794;29.39071947
3505;203.3875072;111.3520161;85.30088498;74.42514127;119.1306981
3506;223.2441917;274.3642194;184.7877865;194.501259;259.2723278
3507;96.71602444;90.65509333;97.54624137;36.34626147;44.88100083
3508;56.97816444;72.37012556;56.0655367;44.33257401;61.23700119
3509;32.29505111;23.41878222;11.13484464;20.48955201;15.0049202
3510;127.9444444;359.7777778;34.23585032;55.22403958;119.9829112
3511;257.2831222;184.3513544;146.5066742;99.16373971;138.1211275
